"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/2c/1721196599167b3a17857cfc9bae602d3f5e42d9b3.jpg",11,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/b9/1712652565abeb20d5bc29323cf20055536b23a9fa.jpg",12,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/v4/j/spmp/2025/08/19/9f/175557494933bc22d5cc6918f08cb0d80138b4a498_thumbnail_405x552.jpg",13,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/06/18/d5/171869454129b7719b4892a1719f08a08d327519e2.jpg",14,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/05/29/90/17169623945758e07310f247eafa3110bf94864f23.jpg",15,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/05/29/ec/1716962406f274bb3b25e4fb428127bcd3a94ba3f9.jpg",16,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/06/18/92/17186935718de00ae53d1368edb11fba93be8601c2.jpg",17,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/78/1721196779ca8ce8f89c1332692e561cc6e532d9fd.jpg",18,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/bc/1721197054df7a1a2505ace9a30b6d5276253fcc2d.jpg",19,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/08/26/11/172466580148396be7fa4cfca284e47af8b7965eaf.jpg",20,"","","","","","","","","","","","","","","","","","","","","","","","","",""
